toxic_sentence	neutral_sentence	lang
@USER_0de @USER_0 In der Türkei, das Maul nicht riskieren und hier frech werden! Typisch Türke!	In der Türkei ist es typisch türkisch, nicht zu frech zu sein.	de
Hinweis: Wer wegen Nadalnys angeblicher Vergiftung nun Nordstream Gas ablehnt ,muss wegen dem tatsächlich getöteten Kashoggi auf das Saudi Öl verzichten Ihr Heuchler. #staatsTV	Die Kommission hat sich mit der Frage der Verwirklichung der Ziele der Gemeinschaft befaßt.	de
Donald Trump ist ein Großmaul, das die Fakten zu den verkauften Autos. in D und USA nicht kennt. Er möge sein Maul halten.	Donald Trump kennt die Fakten über die Autos, die in D und USA verkauft werden.	de
Die hat doch den Arsch offen.	Sie ist offen.	de
Bei einer psycho Sekte von freiwillig zu sprechen ist mutig.	Von Freiwilligenarbeit zu sprechen ist mutig.	de
Hey Charr...du bist kein guter Boxer...im Ami-Land haut dich jeder Sparingspartner wech du Pfeife...!. @USER_1	Hey Charr, du bist kein guter Boxer, im Ami Land ist jeder Sparring	de
Sehe ich Kathrin Göring Eckart, Merkel, Gysi, Petry, Wagenknecht und all die anderen Wendehälse die uns heute regieren. Frage ich mich. War der Fall der Mauer ein Fehler.	Wenn ich Kathrin Göring Eckart, Merkel, Gysi, Pet sehe, dann ist das ein Witz.	de
Die liebt Wahlkampf, andere lieben ihre Familien. Zum kotzen, was die SPD alles tut, um an der Macht zu kleben.	Sie liebt Wahlkampf, andere ihre Familien, und um ehrlich zu sein, die SPD tut	de
#Bayern sollte eine Unabhängigkeitswahl wie die Katalonen machen.. Wir brauchen keine sexy linksversiffte Regierung in #Bayern	Bayern sollte wie die Katalanen für die Unabhängigkeit stimmen... wir tun das nicht	de
Gute Nacht, Ihr Lieben da draußen und träumt schön von Murksel und ihrem Kurzschwanzdackel Luschet 😜	Gute Nacht, ihr Lieben da draußen, die ihr von Murksel und ihrem kurzen...	de
AUF DAS DER FUROR TEUTONICUS ERWACHT !zurhöllemitmerkel !	Ich gehe an die Front des Deutschen Ordens.	de
welches Meth nimmt eigentlich @USER_0? Ihre Haut sieht ja fürchterlich aus und dann das ständige blinzeln #furchtbar #maischberger	Was für Meth nimmt @USER_0? Deine Haut sieht schrecklich aus und dann	de
Genau Grenzen dicht, aber richtig. Asylschmarotzer raus!	Genau wie Grenzen, aber richtig.	de
Stellt Lügenpresse eigentl schon Überlegungen in München an zur Nacktbadesaison an der Isar und Flüchtlinge Primaten? HAHAHAHA #rapefugees	Ist die gefälschte Presse wirklich anfangen zu denken über die Nackt-Schwimmen-Saison in München an der	de
der Dummschwätzer Herr #Dobrindt gehört nicht in die #Bundesregierung sondern ins Irrenhaus #CDU #CSU	Herr Dobrindt gehört nicht zur Bundesregierung, sondern zu den schlechten	de
stimmt. Die Russen hatten wenigstens diese Ossis unter Kontrolle	Die Russen hatten wenigstens diese Ossis unter Kontrolle.	de
Die meisten Schiffbrüchigen sind doch keine Flüchtlinge, sondern. rücksichtslose Invasoren. Wann begreift Ihr politischen Hohlköpfe das?	Die Mehrheit der Schiffbrüchigen sind keine Flüchtlinge, sondern rücksichtslose Eindringlinge.	de
das hätte ich der #FDP nicht zugetraut alle Achtung! nur die #Grünen kriechen allen in den Arsch	Ich hätte der FDP das nicht anvertraut.	de
Da erkennt man, mit was für jämmerlichen Deppen die abgefuckte SPD aus Machtgeilheit 4 Jahre das Volk verraten und verkauft hat !!!	Man sieht, welche Menschen die SPD verraten hat und die Menschen verkauft hat.	de
Was die allermeisten immer noch nicht begriffen haben: Der #Islam hat seine eigenen #Menschenrechte, #scharia-basiert. Ihr Deppen!	Was die meisten Menschen immer noch nicht verstehen, ist, dass der #Islam seine eigenen Menschenrechte hat.	de
Ekelhafter gehts kaum, wie sich diese CDU-Schwachmaten selbst beweihräuchern u feiern u das vor dem Hintergrund des tief gespaltenen Landes🤢	Die Kommission hat sich in der Vergangenheit mit der Frage der	de
Hab gerade in Brüssel angerufen. Ist wie mit Denyz in der Türkei. Keiner will den Spast zurück :-)	Ich habe gerade Brüssel angerufen, es ist wie Denyz in der Türkei, niemand will die	de
Ich kritisiere insbesondere das scheinheilige Verhalten aller Mitglieder des Bundestags.	Ich bin besonders kritisch gegenüber dem heuchlerischen Verhalten aller Mitglieder des Bundestages.	de
idiotischer Kommentar. Aufm Supermannheft gepennt?	Du wirst nicht in der Lage sein, eine Kopie von Superman zu bekommen?	de
Der Gscheidschmatzer macht mich richtig wütend! Fährt mit seinem Porsche rum und reißt seine Klappe auf...ich glaubs nicht!	Der geschiedene Typ macht mich so wütend, er fährt in seinem Porsche herum und er ist	de
Blind ist die Meck-Pomm Schlampe auch noch!	Meck-Pom ist auch blind!	de
Was habe ich mit dem Faschisten Erdogan zu tun? Und Dein Beileid kannst Du Dir hinschieben, wo die Sonne nie scheint.	Was habe ich mit dem Faschisten Erdogan zu tun?	de
Stimmt, die BRD geht mir auch am ARSCH vorbei. DEUTSCHLAND gillt es gegen POLITVERBRECHER,wie Merkel,Schulz,u.MAAS zu schützen !!	Es ist wahr, daß die BRITISCHE Regierung mich auch übersieht.	de
Dummes Gelaber wegen Abschiebung in unsichere Staaten. Berlin, Manchester. und Nizza liegen auch in unsicheren Staaten. Also keine Hemmungen.	Wenn man von Abschiebungen in unsichere Länder spricht, dann sind auch Berlin, Manchester und Nizza in unsicheren Ländern.	de
Der größte Finanzbetrüger aller Zeiten, trifft einen Grünen deutschfeindlichen Türken! Diese Dummlaberei sollte sich niemand antun!	Der größte Finanzbetrüger aller Zeiten trifft einen grünen, anti-deutschen Türken!	de
der strunzdumme #Verstappen und sollte lieber Seifenkisten mit Wohnwagen fahren mehr kann er ohnehin nicht #F1sky	Verstappen sollte lieber Seifenboxen mit Wohnwagen fahren, mehr kann er nicht	de
Das einzige was @USER_1 bereut bedauert, dass er erwischt wurde.. Dieser Pädophile gehört eindeutig entsorgt...samt seiner Grünen Brut!!	Das einzige, was Mr. 1 bereut, ist, dass er erwischt wurde, er sollte	de
Ein schmieriger Sozi,ein Faschist der extremen Linken,ein Antideutsches Subjekt!	Ein sozialistischer Linksradikaler, ein anti-deutscher Untertan!	de
Opfer im Interesse der eigenen fragwürdigen Ziele verhöhnen zu lassen sind bewusster Politik-Stil Merkels, ein kranker Geist😜	Die Kommission hat sich in der Vergangenheit mit der Frage der Verteidigung der Menschenrechte befaßt.	de
Haha das waren welche am Flughafen typische Grünen Wähler. Bis aufs Mark blöde	Das waren typische Grünen-Wähler am Flughafen.	de
Das sind doch alles masturbierende Pickelplatagen, keine Ahnung von Etwas...deswegen werden sie bestimmt Berufspolitiker..😃😃	Sie sind alle masturbierende Pickel, sie wissen nichts... darum	de
Pervers. Die Türken fordern Gerechtigkeit. Anstatt dort, wo sie die. Ungerechtigkeit gewählt haben, fordern sie das in Österreich. Haut ab.	Die Türken fordern Gerechtigkeit, nicht dort, wo sie sich für Ungerechtigkeit entschieden haben, sondern in Österreich.	de
Uiiii...die Häßlichkeit geht in die nächste Runde...	Uiiii... die Hässlichkeit geht in die nächste Runde.	de
Die haben noch einen Arsch in der Hose.	Die haben noch ein Problem in der Hose.	de
Da die Kirche jeher den Herrschenden in den Arsch gekrochen ist, inkl. Hitler, wundert es mich nicht 😜	Da die Kirche immer gegen die Herrscher, einschließlich Hitler, gewesen ist, überrascht es nicht, daß	de
ich finde gut dass #Trump #Jerusalem als Hauptstadt anerkennt nun bekommen die #Israelis erst richtig auf die Fresse	Ich denke, es ist gut, dass #Trump #Jerusalem als Hauptstadt anerkennt.	de
Ach du Scheisse, wer mit Nahles in die Zukunft geht kann auch gleich den Stegner dazu packen 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂	Oh, wer auch immer mit Nahles in die Zukunft geht, kann auch Stegner richtig schnappen.	de
Die Mehrzahl=Asylschmarotzer, Verbrecher, Terroristen, Feiglinge	Die Mehrheit sind Asylsuchende, Kriminelle, Feiglinge.	de
Mit Europa im Zentrum meinen die Polit🤡 wohl die verrottete, korrupte #EU	Mit Europa im Mittelpunkt meinen die Politiker wahrscheinlich die schlechte EU	de
So ein Schwein sitzt noch da oben? Pfui Teufel!	Ist das Schwein noch da oben?	de
Murksel und ihre Unchristen stehen für Konfrontation gegen Russland und einen möglichen Krieg. Und den überleben auch Wahlschafe nicht 😜	Die Kommission hat sich in der Vergangenheit mit der Frage der	de
So sieht es in einem Land aus welches vor der Verblödung steht...ich hasse dumme Menschen, erst recht wenn es meine eigenen Landsleute sind...furchtbar	So sieht es aus in einem Land, das mit vielen Problemen konfrontiert ist.	de
Hallo, war einige Tage in PL, bin gerade zurück u. muss erst all die positiven Eindrücke verarbeiten😜Horsti u. Murksel, ein Thema in PL 😂😂😂	Hallo, war ein paar Tage in PL, gerade zurück. Sie müssen zuerst alle Prozess	de
Es gibt deutsche Weiber die sind geil drauf...deswegen wählen sie SPDund Grünen..!	Es gibt deutsche Frauen, die verrückt danach sind... deshalb stimmen sie für die	de
Umso mehr Schwachsinn die Altparteien von sich geben umso eher kommt die AFD an die Macht.. Die Bürger sind nicht ganz so verblödet wie die Altparteien glauben. #illner	Je schlimmer die alten Parteien sagen, desto eher kommt die AFD an die Macht.	de
Die Politiker und Merkels Vasallen die Lügenpresse und Medienlandschaft sprachen doch von Zehntausenden Teilnehmern? Bestimmt Navi kaputt 😂😂	Die Politiker und die Medien sprachen von Zehntausenden von Teilnehmern?	de
Bis heute wusste ich garnicht das Jerusalem nicht die Hauptstadt von Israel ist...... Es ist eine Christen und Juden Angelegenheit...was geht es eigentlich die bärtigen Kinderschänder an..?	Bis heute wusste ich nicht, dass Jerusalem nicht die Hauptstadt Israels ist.	de
Ich scheisse auf die SPD !!!	Die SPD ist mir egal!	de
Wie blöd können die Niedersachsen doch sein ???	Wie unwissend können die Niedersachsen sein?	de
#Rosenmontag in Mainz und Nordafrikadüsseldorf abgesagt. Hat aber nichts mit #rapefugees zu tun.	Der Rosenmontag in Mainz und der Düsseldorf in Nordafrika wurden abgesagt	de
Es kotzt mich an und bringt mich selbst zum kotzen, wenn Özdemir, oder wie immer der geschrieben wird, von PATRIOTISMUS redet oder sich über DEMOKRATIE ausläßt!	Es macht mir schlecht, wenn Özdemir oder was auch immer	de
Die Dummheit und Deutschfeindlichkeit eines Maas ist nicht mehr akzeptabel!. Dieser Kriminologe Pfeifersollte wohl vorher auf Drogen getestet werden!	Die Idee von Maas ist nicht mehr akzeptabel!	de
Mit Schulz kämen wir von der Pest (Merkel) zur Cholera (Schulz)! CDU uns SPD zusammen haben, unseren jetzigen Untergang zu verantworten!	Wir werden das nicht tun können, weil wir nicht	de
Es wird Zeit,den Pfaffen zu zeigen,wer sie sind! Ein Verein der Gescheiterten und Weltfremden!	Es ist an der Zeit, den Priestern zu zeigen, wer sie sind, ein Club aus Menschen und Außenseitern.	de
Quatsch! Es gibt keine Fachktäfte aus dem Ausland! Außer in Kriminellen und Vergewaltiger-Bereich! Grüne Dummheit!	Es gibt keine ausländischen Spezialisten außer im Bereich der Kriminellen.	de
Die Zersetzung,die Vernichtung der Kultur,der Abschaum,hat immer nur einen Ursprung!	Die Zerstörung der Kultur hat nur einen Ursprung.	de
Frage mich schon seit Jahren, wieviel Stoff jemand intus haben muß, um solche deutschfeindlichen Idioten zu wählen?!	Ich frage mich seit Jahren, wie viel Substanz jemand im Kopf haben muss, um gewählt zu werden.	de
Dummes Gelaber, Kern. Kurz stellt sich nicht gegen die Italiener. Er. will nur 200.000 Invasoren nicht nach Österreich einreisen lassen.	Kurz will nicht gegen die Italiener kämpfen, er will einfach nicht	de
Was für eine ekelhafte Person....der alte..!!	Was für ein schlechter Mensch... der alte Mann!	de
Was für ein Volltrottel ...der hat den Gürtel nicht lange und von wegen für Deutschland Boxen...😂😂	Er hat keinen langen Gürtel und aus Gründen für Deutschland Boxen	de
Klar doch . Die Schlimmsten im Lande sind die Rechten.die Moslems aber die Bedaerungswürdigen denen um JEDEN Preis geholfen werden muß.💩💩💩💩	Die Menschen im Land sind die Rechten, aber die Muslime sind die	de
Haben wir bei der Schwuchtel auch schon vermutet....	Haben wir ihn verdächtigt?	de
Prost Heike (Wat hat der Kerl für`n geiles Höschen (vorne gelb und hinten braun 😂😂😂) ich fasse es nicht 😂😂😂	Prost Heike (Was hat der Kerl für solche sexy Höschen (gelb in	de
Die ganze Welt schüttelt den Kopf oder lacht uns aus und dieses dumme Weib, Merkel, macht fleißig weiter !	Die ganze Welt schüttelt den Kopf oder lacht über uns und diese Frau, Merkel,	de
@USER_15 @USER_12 @USER_10 @USER_0 @USER_7 @USER_5 @USER_16 @USER_17 @USER_9 @USER_2 @USER_11 @USER_1 @USER_4 @USER_6 @USER_3 @USER_8 @USER_13 @USER_14 Es ist zum Kotzen, seit Tagen!	Die Anmeldung ist nur für die in Anhang II aufgeführten Daten erforderlich.	de
Da macht sich die Bildung aus der Bild mal wieder bemerkbar. So ein Sau dummer Kommentar	Die Entstehung des Bildes ist erneut offensichtlich.	de
Endlich wurde dem Linken Anarchisten-Pack eine auf die Fresse gehauen!🤛	Endlich hat die linke Anarchisten-Rasse einen Tritt ins Gesicht bekommen.	de
Mimimi ,,, und was machen unsere politisch-korrekten #safespace-Krieger dann im Ernstfall? Sich in die Hosen sch...?	Mimimi, und was tun unsere politisch korrekten #Safespace-Krieger in	de
Ihr Mauermörder wisst überhaupt nicht was Demokratie bedeutet 🖕	Ihr Wände wisst gar nicht, was Demokratie bedeutet.	de
#rapefugees in der Siedlung? #hartzundherzlich	Vergewaltigungen finden in der Siedlung statt.	de
Frauen die sich nicht freiwillig von Flüchtlingen ficken lassen sind sind ein Verstoß gegen die Menschenwürde. #Hungerstreik #Rapefugees	Frauen, die sich nicht freiwillig von Flüchtlingen misshandeln lassen, sind eine Verletzung der Menschenwürde.	de
Ein System der Zersetzung, ein System der Lemminge der USA,ein System von Sklaven!	Ein System des Zerfalls, ein System der Sklaverei in den Vereinigten Staaten von Amerika,	de
Streit um Flüchtlings-Obergrenze - So könnten CDU und CSU ihr Gesicht wahren 😜 Wenn eine hässliche Fratze gemeint ist, geht`s 😜	Streit um die Flüchtlingsobergrenze - damit CDU und CSU ihr Gesicht retten können	de
#Myanmar #Islamisierung: Aber irgendwie muss das globale #Dreckspack wohl von seiner krachenden Niederlage in #Syrien ablenken	#Myanmar #Islamization: Aber irgendwie muss der globale #Müll von der	de
Die Drecks-SPD mit ihren Aussenministern scheisst aufs Grundgesetzt und ganz besonders auf Art. 6 GG	Die SPD und ihre Außenminister sind in einem Zustand der Verwirrung, weil sie	de
... unfassbar!!!! Man muss es einfach einmal so sagen: Liebe Verantwortliche, das Zeug, welches ihr ständig raucht, das ist einfach Scheisse!	Es ist einfach so, dass man es so sagen muss:	de
"Der Weitertransport von ""Schiffbrüchigen"" nach Europa ist ein. Verbrechen an den Italienern, die dann dafür zahlen müssen. Sauerei."	Die Beförderung von Schiffbrüchigen nach Europa ist ein Verbrechen gegen die Italiener, die	de
Es gäbe eine Lösung...wir sollten als Verstärkung die Maghreb-Polizei holen. Nichts fürchten die kleinen Schmarotzer mehr..!	Es gibt eine Lösung, wir sollten die Maghreb-Polizei als Verstärkung anrufen.	de
Facebook ist verkommen zu einem Medium, dass nur noch die Darmbewohner der abgefuckten Altparteien und die sogenannte Religion der Steinzeitzombies vertritt.	Facebook ist zu einem Medium geworden, das nur die Bauchbewohner der	de
warum muss ich mir in der @USER_0 einen deutschen Jammerlappen anhören #WDR	Warum muss ich einem deutschen Wüter im @USER_0 zuhören	de
Sogar künstl. Intelligenz erkennt dem Dämon Merker!	Selbst künstliche Intelligenz kann die Markierungen des Dämons erkennen!	de
Sollen sie doch ihre sieben Sachen packen und Erdowahn direkt in der Türkei unterstützen! 🤑🖕👎	Lassen Sie sie ihre sieben Sachen packen und unterstützen Erdoğans Wahnsinn direkt in der Türkei!	de
von der Leyen sollte endlich entsorgt werden! #RausAusDemKabinett #illner	Leyen sollte endlich rausgeworfen werden! #RausAusDemKabin	de
@USER_0de @USER_0 Mit dummen Türken diskutiere ich nicht! Basta!	Ich streite nicht mit den Türken!	de
Deswegen unterstützen Sie auch Kinderehen?! Kotz!	Unterstützen Sie deshalb die Kinderheirat?	de
Das ist mir scheiss-egal Hauptsache sie scheiden aus ,bin 60er Fan!!!!!!!!!	Mir ist es egal, solange sie geschieden sind, ich bin ein Fan der 60er Jahre.	de
Das Publikum klatscht für jeden scheiss sind wohl gekauft	Das Publikum applaudiert für alles, was du gekauft hast.	de
Nix abgeschoben....13jahre sind zwar zu wenig, aber für die Gitterstäbe bezahlen wir gerne.. Danach die Ratte entsorgten..!!	Keine Deportation, 13 Jahre sind nicht genug, aber wir bezahlen die Stangen danach.	de
Werden die Namen überführter Museldiebe auch sofort veröffentlicht ??? Wann wird unser Land geheilt von RotGrünenMuselmist !	Wird die Liste der verurteilten Muslime sofort veröffentlicht?	de
Jetzt wird Deutschland überschwemmt werden aber die Idioten wollten es ja nicht anders.	Jetzt wird Deutschland überflutet, aber sie wollten es nicht anders.	de
Wenn Merkel Klitschko feiert,wird es gefährlich. Die Sklavin Obamas feiert einen neuen Sklaven.	Wenn Merkel Klitschko feiert, wird es gefährlich sein, weil der Sklave von Obama	de
Die Merkel hat Charakter.. Leider ist der scheisse! 😜👍	Merkel hat Charakter, leider ist sie nicht gut.	de
Also wenn die Türken bei euch so kacke sind kann ich auch nix machen 😂	Wenn die Türken dich so verarschen, kann ich nichts dagegen tun.	de
Mannheim, Multikulti versiffte Stadt. Klein Istambul und Rumänen/ Bulgaren ☠🖕	Mannheim, eine Stadt voller Multikulturalismus, und Kleiner Istanbul und Rumänen	de
Georg Restle treibt immer noch sein Unwesen gespickt mit Hetze u Fake News gegen die AFD in d ARD dieser Schweinejournalist gehört entsorgt	George Restle führt immer noch seine Probleme, mit Aufstachelung und Fake News	de
"Hallo Freunde ""Absurdistan"" hat mich wieder. Gerade mit `nem Geschenk für Murksel aus PL zurück. Ein Kopftuch für die Zweitfrau des Sultans😜"	Hallo Freunde, Absurdistan hat mich wieder, gerade mit einem Geschenk für Mur zurückgekehrt	de
die Quotenmusel in der Sharia Partei D. für was das auch immer steht der Blonde ist aber auch nicht ganz hell auf der Platte	Der Quoten-Muskel in der Scharia-Partei.	de
Gesicht???? Was für ein Gesicht. Der hat nicht einmal einen Hals. Bei uns heißt so etwas Wutzekopp.	"Er hat nicht mal einen Hals, das nennen wir ""Ein Schwanz""."	de
hören Sie ihren Gören zu ? verkehrte Welt.	Wenn Sie auf Ihre Söhne hören, liegen Sie falsch.	de
Das wird nie aufhören...die fucking Gutmenschen würden ihr eigenes opfern um diesen Völkerwahn aufrechtzuerhalten	Es wird nie aufhören... die guten Leute würden ihre eigenen Opfer bringen, um diese rassistische	de
Ist doch wahr, denn dieses dicke Etwas bekommt kaum zwei zusammenhängenden Sätze heraus und von sinnvoll rede ich garnicht erst 😜	Stimmt das? Denn dieser Typ kann kaum zwei Sätze zusammenfassen, und ich nicht.	de
Das darf man bei den Grünen Kinderfi....n nicht so eng sehen! 😎	Das sieht man nicht bei der Green Children's Fi.	de
Quatsch! Das ist die deutschfeindliche Schuld von ihnen und ihrer Kanzlerin des Grauens!	Das ist die Schuld der Deutschen und ihres Kanzlers.	de
Jakarta nur Drecks Islamisten !!! sie wollen Christen verfolgen ....!!!	Jakarta ist voller Islam. Sie wollen Christen verfolgen.	de
Frauen u Christen bekommen Extraunterkünfte, um sie vor den #Asylanten zu schützen.U wer schützt die Deutschen wenn die rausgekommen?	Frauen und Christen bekommen zusätzliche Schutzräume, um sie vor den Nazis zu schützen, wenn sie rauskommen.	de
Da diese Meldung von den Vasallen Merkels kommt, würde ich sagen das diese Meldung der Tagesschau gelogen ist!! Lügenpresse und Lügen Medien	Da dieser Bericht von den Vasallen von Merkel stammt, würde ich sagen, daß dieser Bericht von den	de
Wer so redet gehört sich Verdroschen	Wer das sagt, ist verflucht.	de
Ach ja stimmt, Eure bekloppte Religion...	Oh, das stimmt, deine Religion.	de
"Obergrenze 😂😂😂 Hoffentlich haben es die Bayern endlich begriffen, dass man ihren ""Eierlosen"" und seinen Haufen lieber nicht gewählt hätte 😜"	Obergrenze 😂😂 hoffentlich haben die Bayern endlich verstanden, dass sie	de
Welch ein Schwachsinn - überlegt die Wahlergebnisse obwohl sie äußerst selten eine Bühne bekommen ihr Träumer	Sie haben die Wahlergebnisse. Sie haben nur sehr selten eine Bühne.	de
Du meinst zwitter und zwitter ist kein Geschlecht sondern eine Behinderung die man von geburt aus leider hat	Du meinst, dass Donner und Blitz kein Geschlecht sind, sondern eine Behinderung, die du von Geburt an hast.	de
Das Video ist gesperrt - aus urheberrechtlichen Gründen - durch die Lügenpresse.	Das Video wurde - aus Urheberrechtsgründen - von der Fake-Presse blockiert.	de
Bin 1947 geboren und habe mit diesem ganzen Scheiß nichts am Hut! Basta!	Ich bin 1947 geboren und weiß nichts davon!	de
Der ist nicht die hellste Kerze. Wer behaupte, daß die Türken Deutschland aufgebaut haben den kann ich nicht für voll nehmen.	Ich bin mir nicht sicher, ob der Kommissar uns eine klare Antwort auf die Frage geben konnte, ob wir die	de
"Schäuble zur Lage in der Türkei: ""Das erinnert mich daran, wie es in der DDR war"" Was weiß dieser Vollpfosten von der DDR 🤢"	"Schäuble über die Lage in der Türkei: ""Es erinnert mich an das, was es war, als ich in der Türkei war""."	de
Jetzt warte ich nur noch darauf bis sich der Grüne Anal Ritter Volker Beck zu Wort meldet. Aber der Pudert sich gerade die Nase. :-)	Ich warte nur auf Volker Beck, aber er ist nur Pulver.	de
Todenhöfer ist ein verlogener linker Islamlobbyist.  Leider sehr einflussreich	Todenhöfer ist ein linker islamistischer Lobbyist.	de
Habe einige Male für ihn dolmetschen müssen - frag` mich besser nicht. Und wenn er Merkel sieht, kriegt er `nen Stän*** 😜	Ich musste ihm ein paar Mal übersetzen.	de
Die deutsche Lügenpresse und Nazi Medien sind nur noch zum kotzen 🤢 schlimmer als Göbbels eben alle samt Vasallen Merkels!!	Die deutsche Fakepresse und die Nazi-Medien sind schlimmer als Goebbels, einschließlich Merkel	de
Der Wechsel auf neue Modelle lässt die alten Diesel nicht. verschwinden. Das ist ein saudummer Vorschlag. Die Schiffe. versauen die Luft mehr	Die Umstellung auf neue Modelle führt nicht dazu, daß die alten Diesel vernichtet werden.	de
Behörden WARTEN auf mehrere Morde, von diesem Abschaum!	Die Behörden erwarten von ihm mehrere Morde!	de
Das haben wir dem kleinen Wicht zu verdanken...😃	Wir schulden es dem kleinen Wiesel.	de
Martin Schulz ist 2x sitzen geblieben und hat keinen Schulabschluss.. Wie kann denn so ein Nulltipper als Kanzlerkandidat aufgestellt werden?	Martin Schulz wurde zweimal verurteilt und hat keine Schulbildung wie kann so eine Person	de
Sry aber Preetz hat nicht viel beizutragen. Er MUSS der Politik in den Hintern kriechen damit sein Verein Zuschauer ins Stadion bekommt. Er ist abhängig von der Politik.	Die Kommission hat sich in der Vergangenheit mit der Frage der	de
Es wäre sehr sinnvoll die Aktionen und Verflechtungen der Linken Antifantenbrut zu prüfen und zu Dokumentieren	Die Kommission hat sich in der Vergangenheit mit der Frage der	de
"Die Laien-Ministerin kann zwar nicht mehr ""werfen"", aber sie erzeugt bei. mir Geilheit: ""den Umschalter zu nutzen."""	Die Laienministerin kann nicht mehr werfen, aber sie macht mich geil, indem sie die	de
Wahrscheinlich...wenn ich alt und gebrechlich...an welchen sich Feiglinge gerne zu schaffen machen.... Aber noch bin ich nicht soweit....ist nicht der erste den ich verprügle...	Wahrscheinlich... wenn ich alt und schwach bin... was Feiglinge gerne tun... aber	de
Die einzigen Nazis dir mir auffallen sind die öffentlich-rechtlichen mit ihrer Hetzpropaganda  gegen Trump und morgen sind es dann die Juden	Die einzigen Nazis, die man bemerkt, sind die öffentlichen Dienste mit ihrer Propaganda gegen Trump und morgen	de
Die Masse versteht das nicht, sie sind so dumm gehalten das annähernd jede Hilfe zu spät kommt	Die Massen verstehen es nicht, sie sind so unwissend, dass fast jede Hilfe zu spät kommt.	de
Oje Lindner....die gleiche Pfeife wie einst Westerwelle..!!	Oh Lindner... die gleiche Pfeife, die Westerwelle benutzte.	de
Die.linken können tun was sie wollen dieses pack	Die Lincens können mit dem Rudel machen, was sie wollen.	de
Die einzige Frage ist: Lassen sich die #Österreicher wieder von der #Kern-#Kurz-affinen #MSM-#Lügenbande verarschen oder nicht?	Die einzige Frage ist: Werden sich die Österreicher von der	de
Eine zusätzliche Folge der islamischen Masseneinwanderung, gesteuert von Merkel und den Grünen Dummköpfen!	Eine weitere Folge der von Merkel und den Grünen kontrollierten Massenmigration von Muslimen!	de
Hahaha vllt gönn ich mir das ma. Aber diese asiaten sind einfach freaks, das is nich menschlich	Tut mir leid, aber diese Asiaten sind Freaks.	de
Ich lach mich kaputt Truppenuschi soll es richten.	Lass die Polizisten das regeln.	de
Ihr Grünen-Würstel, haltet Euch raus aus Dingen, von denen Ihr. nichts versteht. Geht Fahrräder putzen, anstatt über die Nato. zu reden.	Bleib weg von Dingen, die du nicht verstehst, geh Fahrräder reinigen, anstatt über die NATO zu reden.	de
FDP..bisher immer unbedeutend, wirklichen Schaden konnten sie nie anrichten..bis jetzt.. Lindner?.noch eine größere Pfeife als Westerwelle..!	Die FDP ist immer unbedeutend, wirkliche Schäden konnten sie nie anrichten... bis jetzt... Lind	de
Seit wenigen Stunden zurück in Deutschland, was für eine lächerliche, manipulierte und verlogene Parteienlandschaft um Murksels Thron.	Vor ein paar Stunden, in Deutschland, was für eine manipulierte und lügende Partylandschaft herum	de
Lieber bezahlter Diener Putins, als Speichellecker einer korrumpierten deutschen Politik 😜	Besser ein bezahlter Diener Putins als ein Politiker einer korrupten deutschen Politik	de
Keine Unterhaltung, liebe Poetin, eher billige Wahlwerbung, weich klopfen der Wahlschafshirne 😜	Keine Unterhaltung, lieber Poetin, eher billige Wahlkampfwerbung, leise die Wahl zu klopfen	de
Grüner Scheiss ,wer sitzt hat keine Rechte mehr!	Wer sitzt, hat keine Rechte mehr!	de
Danke für die billigen Phrasen.Zum Kotzen!	Danke für die billigen Sätze.	de
Sie können gelassen auf jeden Polit-Idioten warten, der auch einen Krieg nur in Erwägung zieht 😜	Sie können auf jeden Politiker warten, der sogar den Krieg in Betracht zieht.	de
Diese Migrantenkrieg der Schmarotzergegen Deutschland, ist schon in Vorbereitung!	Dieser Krieg der Einwanderer der Schmarots gegen Deutschland, ist bereits in Vorbereitung!	de
Frau Kerestan hat frisch und gut argumentiert. Herr Weinberg ist ein Betonkopf, der nur rückwärtsgewandt zu blicken scheint.	Die Kommission hat dem Rat bereits eine Reihe von Vorschlägen unterbreitet, und ich bin sicher, daß die Kommission diese Vorschläge auch in der nächsten Aussprache vorlegen wird.	de
"Trump - sprich Tramp. Wenn die Laien-Ministerin über Trump labert,. bleibt mir nur : "" Lass den Trampel quaken"". Zu mehr taugt sie nicht."	Wenn der Laienminister über Trump spricht, kann ich nur sagen:	de
Der Auftritt der AfD ist richtig gut....absolut verständliche nachvollziehbare Politik..... Es wird Zeit die Sesselschnarcher abzuservieren ...!	Die AfD hat eine sehr gute Leistung erbracht.	de
Von wegen übertriebener Polizeigewalt. Die Polizei muss in Zukunft. viel härter vorgehen. Aus Maul hauen und dann verhaften.	Die Polizei wird in Zukunft viel aggressiver sein müssen, die Klappe halten und verhaften	de
Die öffentlich-rechtlichen sind Merkels Vasallen und unterstehen der Zensur Merkels!! Die Lügenpresse ebenfalls so wie SAT1 und RTL	Die Behörden sind nicht gut und unterliegen der Zensur von Merkel	de
So ein Mist....die Unfähigsten aller zusammen bekleiden egal welche Ministerien...blödes dummes Deutschland was hast du nur angestellt...😡😡	Eine so ungeeignete Regierung, egal welche Ämter Sie schon hatten.	de
